date,cur_price,open_price,high_price,low_price,trade_quantity,updown_rate
2019-12-04,15.2864,15.32,15.3776,14.9671,5.36M,-0.22%
2019-12-03,15.3207,15.2105,15.5299,15.134,4.82M,0.72%
2019-12-02,15.2112,15.5309,15.6951,15.136,3.98M,-2.06%
2019-12-01,15.5309,15.6723,15.6943,15.0129,4.12M,-0.93%
2019-11-30,15.677,16.143,16.1883,15.4208,4.95M,-2.89%
2019-11-29,16.143,15.5188,16.2588,15.4617,5.54M,4.02%
2019-11-28,15.5191,16.0277,16.1176,15.4468,4.28M,-3.17%
2019-11-27,16.0279,15.4835,16.1635,14.8911,5.80M,3.58%
2019-11-26,15.4745,15.2822,15.9784,15.1586,4.69M,1.16%
2019-11-25,15.2967,15.2046,15.8675,14.1513,7.03M,0.60%
2019-11-24,15.2052,16.2888,16.521,15.1207,5.43M,-6.65%
2019-11-23,16.2888,15.58,16.391,15.1283,5.60M,4.54%
2019-11-22,15.5811,16.8097,16.8097,14.5567,8.33M,-7.31%
2019-11-21,16.8106,18.0201,21.678,16.6437,4.52M,-6.71%
2019-11-20,18.0201,18.487,18.6988,17.3853,3.81M,-2.46%
2019-11-19,18.4753,19.0969,19.3905,18.2478,3.63M,-3.25%
2019-11-18,19.0965,20.1591,20.1611,18.847,3.90M,-5.27%
2019-11-17,20.1591,20.0993,20.3326,19.7775,3.89M,0.28%
2019-11-16,20.1035,20.3036,20.6058,19.8455,3.54M,-0.99%
2019-11-15,20.3054,21.2127,21.2272,20.0739,3.78M,-4.28%
2019-11-14,21.2123,21.2995,21.5373,20.8765,3.43M,-0.46%
2019-11-13,21.3109,20.8925,21.6463,20.6605,3.76M,2.00%
2019-11-12,20.8927,20.1109,20.8927,20.0588,3.30M,3.89%
2019-11-11,20.1109,20.4198,20.5961,19.8083,2.98M,-1.51%
2019-11-10,20.4198,19.7596,20.5742,19.7249,3.75M,3.36%
2019-11-09,19.7563,19.7105,20.0002,19.5593,2.71M,0.23%
2019-11-08,19.7106,20.3935,20.4831,19.3931,3.02M,-3.37%
2019-11-07,20.3982,20.6466,20.7701,19.9646,3.31M,-1.20%
2019-11-06,20.6461,20.6164,20.8848,20.3476,3.93M,0.14%
2019-11-05,20.6164,20.6164,20.8612,20.3382,4.09M,0.00%
2019-11-04,20.6165,20.1645,20.8579,20.06,4.92M,2.24%
2019-11-03,20.1641,20.1941,20.3774,19.852,4.64M,-0.15%
2019-11-02,20.1942,19.9023,20.2994,18.9176,5.22M,1.48%
2019-11-01,19.8989,19.8495,19.9771,19.6214,3.07M,0.26%
2019-10-31,19.8477,19.8998,20.2474,19.2985,4.37M,-0.27%
2019-10-30,19.9008,20.6593,20.7526,19.0719,4.38M,-3.68%
2019-10-29,20.6607,19.8911,21.1416,19.8003,5.84M,3.83%
2019-10-28,19.8979,19.2945,21.0945,19.2702,6.62M,3.09%
2019-10-27,19.3011,18.9274,19.6072,18.5219,5.45M,1.96%
2019-10-26,18.9301,18.6006,19.6633,18.0609,5.38M,1.77%
2019-10-25,18.6008,16.9028,19.0245,15.6764,6.62M,10.05%
2019-10-24,16.9024,16.7257,17.0134,15.6535,3.58M,1.06%
2019-10-23,16.7248,18.2037,18.211,16.28,4.11M,-8.07%
2019-10-22,18.1933,18.2512,18.7629,18.0784,4.50M,-0.32%
2019-10-21,18.2512,18.4671,18.4677,17.9365,3.58M,-1.20%
2019-10-20,18.4738,18.1674,18.5672,17.7471,4.20M,1.69%
2019-10-19,18.1674,18.2019,18.4224,17.8576,3.64M,-0.19%
2019-10-18,18.2019,18.5113,18.7367,17.7138,3.84M,-1.62%
2019-10-17,18.5013,17.7648,18.7687,17.5942,4.88M,4.17%
2019-10-16,17.761,18.4434,18.5805,17.4352,4.43M,-3.70%
2019-10-15,18.4434,18.433,19.132,18.1153,7.09M,0.05%
2019-10-14,18.4337,18.2056,18.6127,17.8616,4.38M,1.25%
2019-10-13,18.2056,17.1957,18.7138,17.12,5.15M,5.86%
2019-10-12,17.1977,16.6004,17.4247,16.5514,4.70M,3.60%
2019-10-11,16.6004,17.5292,17.6517,16.5607,4.20M,-5.31%
2019-10-10,17.5309,17.7071,17.8942,17.0678,4.71M,-0.99%
2019-10-09,17.7071,16.0412,17.9618,15.9252,6.26M,10.38%
2019-10-08,16.0413,16.0477,16.3356,15.8218,2.65M,-0.03%
2019-10-07,16.0462,15.3637,16.1431,15.2193,2.97M,4.45%
2019-10-06,15.3624,15.7241,15.7546,15.2249,2.42M,-2.24%
2019-10-05,15.715,15.6458,15.7991,15.4562,2.57M,0.44%
