date,cur_price,open_price,high_price,low_price,trade_quantity,updown_rate
2019-12-04,2.08,2.12,2.12,2,6.30M,-2.27%
2019-12-03,2.12,2.09,2.19,2.06,4.51M,1.50%
2019-12-02,2.09,2.16,2.17,2.05,4.00M,-3.14%
2019-12-01,2.16,2.24,2.24,2.13,4.08M,-3.38%
2019-11-30,2.24,2.34,2.34,2.2,3.40M,-4.28%
2019-11-29,2.34,2.27,2.37,2.26,5.20M,2.90%
2019-11-28,2.27,2.22,2.32,2.17,5.46M,2.02%
2019-11-27,2.22,2.24,2.28,2.1,8.77M,-0.91%
2019-11-26,2.24,2.26,2.35,2.15,8.67M,-0.57%
2019-11-25,2.26,2.22,2.4,2.03,9.51M,1.66%
2019-11-24,2.22,2.42,2.45,2.2,5.16M,-8.22%
2019-11-23,2.42,2.35,2.46,2.26,5.49M,3.15%
2019-11-22,2.35,2.54,2.59,2.14,13.01M,-7.80%
2019-11-21,2.54,2.7,2.71,2.48,5.38M,-5.64%
2019-11-20,2.7,2.72,2.79,2.63,4.14M,-0.98%
2019-11-19,2.72,2.79,2.8,2.58,5.41M,-2.43%
2019-11-18,2.79,2.91,2.96,2.7,4.27M,-3.93%
2019-11-17,2.91,2.99,2.99,2.87,2.04M,-3.00%
2019-11-16,2.99,3.04,3.04,2.91,2.81M,-1.38%
2019-11-15,3.04,3.04,3.07,2.81,7.47M,-0.21%
2019-11-14,3.04,3.02,3.16,2.97,8.42M,0.93%
2019-11-13,3.02,2.82,3.09,2.79,8.22M,7.11%
2019-11-12,2.82,2.74,2.87,2.73,3.86M,2.51%
2019-11-11,2.75,2.78,2.78,2.67,2.63M,-1.08%
2019-11-10,2.78,2.8,2.84,2.74,3.36M,-0.69%
2019-11-09,2.8,2.71,2.85,2.7,5.78M,2.96%
2019-11-08,2.71,2.68,2.73,2.63,3.86M,1.14%
2019-11-07,2.68,2.74,2.75,2.62,4.06M,-2.19%
2019-11-06,2.74,2.67,2.82,2.65,3.65M,2.63%
2019-11-05,2.67,2.68,2.69,2.64,2.37M,-0.31%
2019-11-04,2.68,2.66,2.73,2.63,2.61M,0.90%
2019-11-03,2.66,2.7,2.71,2.62,1.89M,-1.65%
2019-11-02,2.7,2.71,2.74,2.68,2.33M,0.00%
2019-11-01,2.71,2.72,2.79,2.65,4.37M,-0.49%
2019-10-31,2.72,2.61,2.76,2.54,4.63M,4.32%
2019-10-30,2.61,2.66,2.68,2.52,4.65M,-2.09%
2019-10-29,2.66,2.66,2.77,2.64,4.34M,0.00%
2019-10-28,2.66,2.67,2.88,2.66,9.37M,0.00%
2019-10-27,2.67,2.74,2.76,2.65,7.20M,-2.82%
2019-10-26,2.74,2.84,2.99,2.66,15.72M,-3.29%
2019-10-25,2.84,2.72,2.99,2.62,16.33M,4.10%
2019-10-24,2.72,2.61,2.77,2.61,11.70M,4.38%
2019-10-23,2.61,2.61,2.68,2.39,16.21M,0.00%
2019-10-22,2.61,2.62,2.82,2.57,13.04M,-0.67%
2019-10-21,2.62,2.44,2.67,2.44,13.37M,7.66%
2019-10-20,2.44,2.35,2.45,2.29,5.13M,3.49%
2019-10-19,2.35,2.35,2.39,2.29,5.38M,0.00%
2019-10-18,2.35,2.41,2.5,2.32,8.45M,-2.51%
2019-10-17,2.41,2.37,2.48,2.27,11.91M,1.61%
2019-10-16,2.38,2.39,2.41,2.18,13.77M,-0.41%
2019-10-15,2.39,2.53,2.59,2.34,7.40M,-5.56%
2019-10-14,2.53,2.49,2.67,2.45,7.02M,1.56%
2019-10-13,2.49,2.6,2.64,2.45,6.64M,-3.97%
2019-10-12,2.59,2.75,2.75,2.56,7.22M,-5.72%
2019-10-11,2.75,2.63,2.79,2.57,13.42M,4.62%
2019-10-10,2.63,2.8,2.8,2.48,17.87M,-6.38%
2019-10-09,2.8,2.58,2.94,2.51,25.07M,8.74%
2019-10-08,2.58,2.4,2.63,2.27,18.52M,7.66%
2019-10-07,2.4,2.17,2.49,2.1,15.24M,10.63%
2019-10-06,2.17,1.96,2.26,1.95,11.48M,10.22%
2019-10-05,1.96,1.97,1.98,1.91,2.60M,-0.42%
2019-10-04,1.97,1.94,1.99,1.89,4.08M,1.49%
2019-10-03,1.94,2.01,2.03,1.89,8.29M,-3.30%
2019-10-02,2.01,1.83,2.02,1.81,6.70M,10.15%
2019-10-01,1.83,1.77,1.88,1.75,5.09M,3.31%
2019-09-30,1.77,1.7,1.77,1.64,4.47M,3.86%
2019-09-29,1.7,1.68,1.75,1.64,4.25M,1.52%
2019-09-28,1.68,1.66,1.7,1.63,3.05M,1.16%
2019-09-27,1.66,1.65,1.68,1.56,5.07M,0.00%
2019-09-26,1.65,1.75,1.76,1.53,9.18M,-5.63%
2019-09-25,1.75,1.71,1.93,1.63,10.76M,2.30%
2019-09-24,1.71,1.8,2.06,1.48,20.00M,-5.01%
2019-09-23,1.8,1.82,1.88,1.78,3.38M,-0.66%
2019-09-22,1.82,1.89,1.89,1.77,2.81M,-3.65%
2019-09-21,1.89,1.82,1.89,1.79,3.34M,3.35%
2019-09-20,1.82,1.87,1.87,1.76,4.06M,-2.32%
2019-09-19,1.87,1.8,1.9,1.73,10.91M,3.47%
2019-09-18,1.8,1.63,1.84,1.62,9.95M,10.47%
2019-09-17,1.63,1.58,1.67,1.55,5.99M,3.66%
2019-09-16,1.58,1.61,1.63,1.55,4.14M,-2.39%
2019-09-15,1.61,1.56,1.64,1.56,4.58M,3.23%
2019-09-14,1.56,1.58,1.64,1.53,6.40M,-0.71%
2019-09-13,1.58,1.71,1.71,1.51,7.41M,-7.67%
2019-09-12,1.71,1.73,1.74,1.69,2.44M,-1.08%
2019-09-11,1.73,1.8,1.83,1.71,2.48M,-4.05%
2019-09-10,1.8,1.79,1.83,1.77,3.02M,0.00%
2019-09-09,1.79,1.83,1.87,1.76,3.91M,-1.80%
2019-09-08,1.83,1.77,1.9,1.76,3.93M,3.43%
2019-09-07,1.77,1.72,1.8,1.71,2.62M,2.66%
2019-09-06,1.72,1.79,1.83,1.69,3.50M,-4.16%
2019-09-05,1.79,1.78,1.86,1.77,3.09M,1.02%
2019-09-04,1.78,1.85,1.86,1.74,3.86M,-4.12%
2019-09-03,1.85,1.83,1.94,1.82,3.65M,1.54%
2019-09-02,1.83,1.77,1.89,1.73,3.43M,3.25%
2019-09-01,1.77,1.78,1.8,1.72,1.54M,-0.65%
2019-08-31,1.78,1.8,1.85,1.74,2.15M,-1.33%
2019-08-30,1.8,1.78,1.89,1.74,2.99M,1.25%
2019-08-29,1.78,1.89,1.89,1.73,4.64M,-5.92%
2019-08-28,1.89,2.11,2.11,1.88,3.60M,-10.48%
2019-08-27,2.11,2.07,2.18,2.01,3.44M,1.92%
2019-08-26,2.07,2.08,2.15,2.05,2.63M,0.00%
2019-08-25,2.08,2.17,2.18,2.03,3.14M,-4.51%
2019-08-24,2.17,2.24,2.25,2.16,2.01M,-2.83%
2019-08-23,2.24,2.22,2.31,2.17,5.16M,0.62%
2019-08-22,2.22,2.21,2.29,2.14,3.39M,0.85%
2019-08-21,2.21,2.36,2.37,2.16,5.72M,-6.61%
2019-08-20,2.36,2.49,2.54,2.34,4.08M,-5.27%
2019-08-19,2.49,2.5,2.6,2.45,4.88M,-0.30%
2019-08-18,2.5,2.4,2.56,2.37,4.31M,4.13%
2019-08-17,2.4,2.3,2.42,2.28,2.42M,4.18%
2019-08-16,2.3,2.42,2.46,2.23,4.19M,-4.71%
2019-08-15,2.42,2.28,2.45,2.26,3.55M,6.17%
2019-08-14,2.28,2.42,2.6,2.17,8.25M,-5.72%
2019-08-13,2.42,2.39,2.47,2.31,3.71M,1.23%
