date,cur_price,open_price,high_price,low_price,trade_quantity,updown_rate
2019-12-04,0.11381,0.11843,0.11867,0.10903,-,-3.90%
2019-12-03,0.11843,0.11571,0.11929,0.10179,-,2.35%
2019-12-02,0.11571,0.10565,0.12021,0.10518,-,9.52%
2019-12-01,0.10565,0.10797,0.10957,0.10543,-,-2.15%
2019-11-30,0.10797,0.08887,0.10914,0.08878,-,21.49%
2019-11-29,0.08887,0.07627,0.08887,0.07578,-,16.51%
2019-11-28,0.07627,0.08506,0.09262,0.07627,-,-10.34%
2019-11-27,0.08506,0.0748,0.08995,0.07084,-,13.72%
2019-11-26,0.0748,0.0702,0.07491,0.064,-,6.55%
2019-11-25,0.0702,0.06979,0.08356,0.06974,-,0.59%
2019-11-24,0.06979,0.06746,0.07099,0.066,-,3.46%
2019-11-23,0.06746,0.07058,0.07155,0.06746,-,-4.43%
2019-11-22,0.07058,0.07517,0.07605,0.06533,-,-6.11%
2019-11-21,0.07517,0.08231,0.08267,0.06974,-,-8.67%
2019-11-20,0.08231,0.07401,0.08299,0.07315,-,11.21%
2019-11-19,0.07401,0.08173,0.08273,0.07318,-,-9.44%
2019-11-18,0.08173,0.08818,0.08852,0.07701,-,-7.31%
2019-11-17,0.08818,0.0847,0.08828,0.08466,-,4.10%
2019-11-16,0.0847,0.08267,0.08482,0.08231,-,2.46%
2019-11-15,0.08267,0.08247,0.08434,0.08049,-,0.24%
2019-11-14,0.08247,0.08294,0.0832,0.08133,-,-0.57%
2019-11-13,0.08294,0.08865,0.0887,0.08155,-,-6.44%
2019-11-12,0.08865,0.08579,0.08888,0.08167,-,3.33%
2019-11-11,0.08579,0.08977,0.09096,0.0789,-,-4.43%
2019-11-10,0.08977,0.07603,0.09208,0.07544,-,18.07%
2019-11-09,0.07603,0.07562,0.07638,0.07514,-,0.55%
2019-11-08,0.07562,0.07677,0.0774,0.07477,-,-1.50%
2019-11-07,0.07677,0.0786,0.07903,0.07601,-,-2.33%
2019-11-06,0.0786,0.07753,0.07988,0.07729,-,1.37%
2019-11-05,0.07753,0.07542,0.07862,0.07517,-,2.80%
2019-11-04,0.07542,0.07462,0.07589,0.07309,-,1.07%
2019-11-03,0.07462,0.0742,0.0752,0.06903,-,0.56%
2019-11-02,0.0742,0.07115,0.07472,0.07093,-,4.29%
2019-11-01,0.07115,0.07339,0.07368,0.06944,-,-3.06%
2019-10-31,0.07339,0.06918,0.07486,0.06822,-,6.09%
2019-10-30,0.06918,0.06949,0.07166,0.06831,-,-0.45%
2019-10-29,0.06949,0.0699,0.07349,0.06846,-,-0.58%
2019-10-28,0.0699,0.06958,0.07267,0.06872,-,0.46%
2019-10-27,0.06958,0.07327,0.07597,0.06933,-,-5.04%
2019-10-26,0.07327,0.06577,0.07358,0.06442,-,11.41%
2019-10-25,0.06577,0.06919,0.08038,0.065,-,-4.94%
2019-10-24,0.06919,0.06457,0.06924,0.06226,-,7.15%
2019-10-23,0.06457,0.06965,0.06979,0.06238,-,-7.29%
2019-10-22,0.06965,0.07294,0.07294,0.06902,-,-4.51%
2019-10-21,0.07294,0.06904,0.0732,0.06817,-,5.65%
2019-10-20,0.06904,0.06368,0.06938,0.0614,-,8.42%
2019-10-19,0.06368,0.06068,0.06368,0.05976,-,4.94%
2019-10-18,0.06068,0.0603,0.06263,0.05961,-,0.64%
2019-10-17,0.0603,0.0601,0.06304,0.05952,-,0.33%
2019-10-16,0.0601,0.05918,0.061,0.05662,-,1.56%
2019-10-15,0.05918,0.06017,0.06082,0.05855,-,-1.65%
2019-10-14,0.06017,0.05769,0.06379,0.05457,-,4.30%
2019-10-13,0.05769,0.06305,0.0639,0.05555,-,-8.49%
2019-10-12,0.06305,0.06102,0.06354,0.06102,-,3.31%
2019-10-11,0.06102,0.06077,0.06226,0.05957,-,0.42%
2019-10-10,0.06077,0.06246,0.06284,0.05998,-,-2.70%
2019-10-09,0.06246,0.06048,0.06323,0.05766,-,3.27%
2019-10-08,0.06048,0.0602,0.0615,0.0589,-,0.46%
2019-10-07,0.0602,0.057,0.06096,0.05626,-,5.61%
2019-10-06,0.057,0.06077,0.06094,0.05555,-,-6.20%
2019-10-05,0.06077,0.06519,0.06665,0.05993,-,-6.78%
2019-10-04,0.06519,0.06367,0.06665,0.0625,-,2.39%
2019-10-03,0.06367,0.06478,0.06484,0.06207,-,-1.70%
2019-10-02,0.06478,0.06323,0.06495,0.06279,-,2.44%
2019-10-01,0.06323,0.06433,0.06605,0.06257,-,-1.71%
2019-09-30,0.06433,0.06139,0.06453,0.06001,-,4.79%
2019-09-29,0.06139,0.06359,0.06385,0.05975,-,-3.46%
2019-09-28,0.06359,0.06564,0.06604,0.06142,-,-3.13%
2019-09-27,0.06564,0.06596,0.06724,0.06399,-,-0.48%
2019-09-26,0.06596,0.07001,0.07015,0.06293,-,-5.78%
2019-09-25,0.07001,0.07945,0.08277,0.06877,-,-11.89%
2019-09-24,0.07945,0.07934,0.08171,0.06999,-,0.14%
2019-09-23,0.07934,0.07312,0.08268,0.06896,-,8.51%
2019-09-22,0.07312,0.0751,0.07597,0.07179,-,-2.64%
2019-09-21,0.0751,0.0763,0.07742,0.07465,-,-1.57%
2019-09-20,0.0763,0.06954,0.08647,0.06829,-,9.71%
2019-09-19,0.06954,0.07681,0.08132,0.06612,-,-9.46%
2019-09-18,0.07681,0.07487,0.07846,0.07487,-,2.59%
2019-09-17,0.07487,0.07607,0.07792,0.07487,-,-1.58%
2019-09-16,0.07607,0.07312,0.07709,0.07285,-,4.03%
2019-09-15,0.07312,0.07546,0.07597,0.07274,-,-3.11%
2019-09-14,0.07546,0.07435,0.07613,0.07343,-,1.50%
2019-09-13,0.07435,0.07411,0.07561,0.07314,-,0.32%
2019-09-12,0.07411,0.07373,0.07467,0.07177,-,0.52%
2019-09-11,0.07373,0.07201,0.07374,0.07056,-,2.38%
2019-09-10,0.07201,0.07379,0.07485,0.07156,-,-2.41%
