date,cur_price,open_price,high_price,low_price,trade_quantity,updown_rate
2019-12-04,0.7279,0.7433,0.7436,0.7128,2.34M,-2.08%
2019-12-03,0.7433,0.7354,0.7452,0.729,1.77M,1.09%
2019-12-02,0.7354,0.7472,0.7495,0.728,1.83M,-1.58%
2019-12-01,0.7472,0.7668,0.7712,0.7227,3.30M,-2.57%
2019-11-30,0.7668,0.8025,0.8069,0.7498,3.45M,-4.44%
2019-11-29,0.8025,0.7762,0.8217,0.7726,2.89M,3.38%
2019-11-28,0.7762,0.7641,0.7989,0.7622,3.00M,1.58%
2019-11-27,0.7641,0.7451,0.8118,0.7115,5.00M,2.55%
2019-11-26,0.7451,0.722,0.75,0.7187,8.45M,3.20%
2019-11-25,0.722,0.7364,0.7622,0.6611,8.61M,-1.95%
2019-11-24,0.7364,0.8031,0.8126,0.7307,4.47M,-8.31%
2019-11-23,0.8031,0.7714,0.8075,0.7541,5.69M,4.12%
2019-11-22,0.7714,0.823,0.8334,0.721,7.63M,-6.23%
2019-11-21,0.8226,0.885,0.8912,0.7874,6.53M,-7.05%
2019-11-20,0.885,0.8963,0.9201,0.8838,2.93M,-1.26%
2019-11-19,0.8963,0.9406,0.9416,0.8721,6.33M,-4.71%
2019-11-18,0.9406,1.0244,1.025,0.9063,3.98M,-8.17%
2019-11-17,1.0244,1.0444,1.0444,0.9881,3.79M,-1.92%
2019-11-16,1.0444,1.006,1.0713,0.9956,9.53M,3.82%
2019-11-15,1.006,1.013,1.0746,0.9801,7.12M,-0.69%
2019-11-14,1.013,0.9785,1.0368,0.9507,10.22M,3.52%
2019-11-13,0.9785,0.9637,0.9986,0.9512,5.08M,1.61%
2019-11-12,0.9631,0.9508,0.9862,0.9463,3.66M,1.29%
2019-11-11,0.9508,1.0066,1.0078,0.9254,3.75M,-5.55%
2019-11-10,1.0066,0.9614,1.0254,0.9464,4.47M,4.70%
2019-11-09,0.9615,0.9522,0.9694,0.9439,3.23M,0.97%
2019-11-08,0.9522,0.998,1.0044,0.9257,6.80M,-4.58%
2019-11-07,0.998,1.0322,1.0429,0.9645,7.03M,-3.31%
2019-11-06,1.0322,1.0271,1.0896,1.0158,6.67M,0.50%
2019-11-05,1.0271,0.9838,1.0609,0.9712,7.53M,4.40%
2019-11-04,0.9838,0.9644,0.996,0.9459,4.75M,2.01%
2019-11-03,0.9644,0.9843,0.9951,0.9451,2.41M,-2.02%
2019-11-02,0.9843,0.9745,1.0006,0.9577,7.61M,0.97%
2019-11-01,0.9748,0.9443,0.9853,0.9332,9.46M,3.23%
2019-10-31,0.9443,0.9801,0.9868,0.9239,3.68M,-3.65%
2019-10-30,0.9801,1.0375,1.0382,0.9369,7.34M,-5.53%
2019-10-29,1.0375,1.0269,1.1147,1.0133,8.50M,1.03%
2019-10-28,1.0269,0.9696,1.0939,0.9265,12.03M,5.93%
2019-10-27,0.9693,0.8455,1.0407,0.8391,13.55M,14.57%
2019-10-26,0.846,0.8381,0.9084,0.8157,9.13M,0.95%
2019-10-25,0.8381,0.7812,0.8546,0.7665,5.01M,7.28%
2019-10-24,0.7812,0.7247,0.7911,0.7088,4.40M,7.84%
2019-10-23,0.7244,0.7794,0.7863,0.7086,4.02M,-7.05%
