date,cur_price,open_price,high_price,low_price,trade_quantity,updown_rate
2019-12-04,0.12846,0.13105,0.13105,0.12625,5.54M,-1.98%
2019-12-03,0.13105,0.12977,0.13343,0.12819,3.53M,1.24%
2019-12-02,0.12944,0.13249,0.13324,0.12671,2.79M,-2.30%
2019-12-01,0.13249,0.13298,0.13343,0.12712,3.19M,-0.37%
2019-11-30,0.13298,0.13559,0.13679,0.13184,3.15M,-1.93%
2019-11-29,0.13559,0.13196,0.13818,0.13159,5.74M,2.75%
2019-11-28,0.13196,0.13632,0.13705,0.13107,6.77M,-3.20%
2019-11-27,0.13632,0.12894,0.13773,0.12226,10.40M,5.72%
2019-11-26,0.12894,0.12743,0.12984,0.12509,4.76M,1.17%
2019-11-25,0.12745,0.12463,0.13045,0.11421,7.20M,2.26%
2019-11-24,0.12463,0.1362,0.1378,0.12437,5.98M,-8.46%
2019-11-23,0.13614,0.13306,0.13675,0.13023,5.16M,2.31%
2019-11-22,0.13306,0.14363,0.14587,0.12278,9.16M,-7.35%
2019-11-21,0.14362,0.15554,0.1583,0.141,8.38M,-7.66%
2019-11-20,0.15554,0.16272,0.16398,0.15473,9.22M,-4.41%
2019-11-19,0.16272,0.1562,0.16982,0.15397,13.57M,4.17%
2019-11-18,0.1562,0.16483,0.17089,0.15239,12.85M,-5.24%
2019-11-17,0.16483,0.16066,0.16831,0.15871,7.86M,2.60%
2019-11-16,0.16066,0.15702,0.16074,0.15631,4.46M,2.32%
2019-11-15,0.15702,0.16035,0.16129,0.15561,6.17M,-2.08%
2019-11-14,0.16035,0.16331,0.1646,0.15792,7.76M,-1.81%
2019-11-13,0.16331,0.16116,0.16531,0.15995,6.03M,1.33%
2019-11-12,0.16116,0.16112,0.1637,0.16024,5.88M,0.03%
2019-11-11,0.16112,0.16753,0.16778,0.15859,7.97M,-3.82%
2019-11-10,0.16753,0.16387,0.16968,0.16065,8.10M,2.23%
2019-11-09,0.16387,0.16472,0.16627,0.16207,7.14M,-0.51%
2019-11-08,0.16471,0.17985,0.1804,0.16025,11.27M,-8.42%
2019-11-07,0.17985,0.18181,0.18562,0.17409,9.35M,-1.08%
2019-11-06,0.18181,0.18165,0.1831,0.17701,7.87M,0.09%
2019-11-05,0.18165,0.17751,0.18259,0.17007,9.87M,2.33%
2019-11-04,0.17751,0.16632,0.17855,0.16515,9.61M,6.73%
2019-11-03,0.16632,0.1646,0.16686,0.1617,9.51M,1.04%
2019-11-02,0.1646,0.16277,0.16489,0.16162,9.22M,1.12%
2019-11-01,0.16277,0.16178,0.16681,0.16084,10.71M,0.61%
2019-10-31,0.16178,0.16876,0.16975,0.15619,11.84M,-4.14%
2019-10-30,0.16876,0.16545,0.17201,0.16215,13.24M,1.98%
2019-10-29,0.16548,0.16667,0.17357,0.16184,14.43M,-0.77%
2019-10-28,0.16676,0.16488,0.17679,0.16143,19.97M,1.20%
2019-10-27,0.16478,0.14556,0.17055,0.14524,20.08M,13.20%
2019-10-26,0.14556,0.15109,0.16068,0.14269,16.69M,-3.66%
2019-10-25,0.15109,0.14082,0.1535,0.13952,12.27M,7.30%
2019-10-24,0.14082,0.14122,0.14334,0.13817,6.87M,-0.29%
2019-10-23,0.14122,0.15375,0.15432,0.13765,7.76M,-8.15%
2019-10-22,0.15375,0.15574,0.15832,0.15341,7.16M,-1.28%
2019-10-21,0.15574,0.15705,0.1576,0.154,8.06M,-0.83%
2019-10-20,0.15705,0.15375,0.15814,0.15196,7.42M,2.14%
2019-10-19,0.15375,0.15493,0.15618,0.15267,8.45M,-0.76%
2019-10-18,0.15493,0.16055,0.16056,0.15274,8.52M,-3.50%
2019-10-17,0.16055,0.15569,0.1607,0.15265,8.26M,3.12%
2019-10-16,0.15569,0.16015,0.16146,0.15177,9.26M,-2.78%
2019-10-15,0.16015,0.16607,0.16729,0.15898,8.96M,-3.56%
2019-10-14,0.16607,0.16575,0.16842,0.1618,10.02M,0.19%
2019-10-13,0.16575,0.16498,0.1686,0.16441,8.83M,0.47%
2019-10-12,0.16498,0.16398,0.16649,0.16247,9.92M,0.61%
2019-10-11,0.16398,0.17373,0.1744,0.16342,10.29M,-5.62%
2019-10-10,0.17373,0.17618,0.17683,0.17028,10.82M,-1.39%
2019-10-09,0.17618,0.17876,0.18297,0.17039,11.99M,-1.44%
2019-10-08,0.17876,0.172,0.18074,0.1701,11.71M,3.93%
2019-10-07,0.172,0.16519,0.17319,0.16342,11.47M,4.04%
2019-10-06,0.16532,0.1708,0.17228,0.16395,10.08M,-3.21%
2019-10-05,0.1708,0.16899,0.17392,0.16608,9.84M,1.07%
2019-10-04,0.16899,0.16418,0.17432,0.16184,10.88M,2.93%
2019-10-03,0.16418,0.16694,0.17042,0.16225,9.74M,-1.65%
2019-10-02,0.16694,0.16477,0.16727,0.16401,10.38M,1.32%
2019-10-01,0.16477,0.16755,0.17075,0.16334,12.07M,-1.63%
2019-09-30,0.1675,0.16251,0.16857,0.15604,10.34M,3.07%
